part_id,part_name,part_type,used_in_models,dimensions,weight,blocked_parts,successor_parts,comment
P300,S1 V1 500W Brushless Motor,assembly,S1_V1,N/A,3.79,,P304,Obsolete V1 motor superseded by V2
P301,S1 V1 Li-Ion 36V 10Ah Battery Pack,assembly,S1_V1,N/A,4.84,,P305,Li-Po battery replaces Li-Ion
P302,S1 V1 Analog Controller ZX,assembly,S1_V1,N/A,2.29,,,
P303,S1 V1 Aluminum Frame,assembly,S1_V1,N/A,4.01,,,
P304,S1 V2 750W Brushless Motor,assembly,S1_V2,N/A,3.31,P300,,Current V2 motor
P305,S1 V2 Li-Po 48V 12Ah Battery Pack,assembly,S1_V2,N/A,3.16,,,
P306,S1 V2 Digital Controller ZP,assembly,S1_V2,N/A,4.15,,,
P307,S1 V2 Carbon Fiber Frame,assembly,S1_V2,N/A,3.99,,,
P308,S2 V1 500W Brushless Motor,assembly,S2_V1,N/A,4.46,,,
P309,S2 V1 Li-Ion 36V 10Ah Battery Pack,assembly,S2_V1,N/A,1.77,,,
P310,S2 V1 Analog Controller ZX,assembly,S2_V1,N/A,4.94,,,
P311,S2 V1 Aluminum Frame,assembly,S2_V1,N/A,0.75,,,
P312,S2 V2 750W Brushless Motor,assembly,S2_V2,N/A,2.5,Blocked,,Quality issues
P313,S2 V2 Li-Po 48V 12Ah Battery Pack,assembly,S2_V2,N/A,2.44,Blocked,,Safety recall
P314,S2 V2 Digital Controller ZP,assembly,S2_V2,N/A,1.46,,,
P315,S2 V2 Carbon Fiber Frame,assembly,S2_V2,N/A,0.81,,,
P316,S3 V1 500W Brushless Motor,assembly,S3_V1,N/A,1.09,,,
P317,S3 V1 Li-Ion 36V 10Ah Battery Pack,assembly,S3_V1,N/A,2.07,,,
P318,S3 V1 Analog Controller ZX,assembly,S3_V1,N/A,2.7,,,
P319,S3 V1 Aluminum Frame,assembly,S3_V1,N/A,3.97,,,
P320,S3 V2 750W Brushless Motor,assembly,S3_V2,N/A,3.61,,,
P321,S3 V2 Li-Po 48V 12Ah Battery Pack,assembly,S3_V2,N/A,4.69,,,
P322,S3 V2 Digital Controller ZP,assembly,S3_V2,N/A,2.98,,,
P323,S3 V2 Carbon Fiber Frame,assembly,S3_V2,N/A,3.55,,,
P324,LCD Dashboard Display,assembly,S1_V1;S2_V1;S3_V1,N/A,4.8,,,
P325,10-inch Alloy Wheel,assembly,S1_V1;S2_V1;S3_V1,N/A,4.1,,,
P326,Mechanical Disc Brake,assembly,S1_V1;S2_V1;S3_V1,N/A,0.56,,,
P327,Standard LED Headlight,assembly,S1_V1;S2_V1;S3_V1,N/A,2.76,,,
P328,Standard Charger 42V,assembly,S1_V1;S2_V1;S3_V1,N/A,1.94,,,
P329,OLED Dashboard Display,assembly,S1_V2;S2_V2;S3_V2,N/A,4.93,,,
P330,12-inch Alloy Wheel,assembly,S1_V2;S2_V2;S3_V2,N/A,3.68,,,
P331,Hydraulic Disc Brake,assembly,S1_V2;S2_V2;S3_V2,N/A,3.3,,,
P332,Advanced LED Headlight with DRL,assembly,S1_V2;S2_V2;S3_V2,N/A,4.38,,,
P333,Fast Charger 42V 2A,assembly,S1_V2;S2_V2;S3_V2,N/A,1.16,,,
P334,Power Cable,assembly,S1_V1;S1_V2;S2_V1;S2_V2;S3_V1;S3_V2,N/A,4.03,,,
P335,Comfort Seat,service,S1_V1;S1_V2;S2_V1;S2_V2;S3_V1;S3_V2,N/A,0.82,,,
P336,Rear Fender,service,S1_V1;S1_V2;S2_V1;S2_V2;S3_V1;S3_V2,N/A,2.34,,,
P337,Hex Nut,service,S1_V1;S1_V2;S2_V1;S2_V2;S3_V1;S3_V2,N/A,3.48,,,
P338,Lock Washer,service,S1_V1;S1_V2;S2_V1;S2_V2;S3_V1;S3_V2,N/A,1.98,,,
