sales_order_id,model,version,quantity,order_type,requested_date,created_at,accepted_request_date
S6000,S2,V1,10,webshop,2025-03-03,2025-01-01,2025-01-02
S6001,S1,V1,42,webshop,2025-03-31,2025-01-03,2025-01-04
S6002,S1,V1,13,webshop,2025-04-10,2025-01-05,2025-01-06
S6003,S2,V2,24,webshop,2025-04-04,2025-01-07,2025-01-08
S6004,S3,V2,28,fleet_framework,2025-04-03,2025-01-09,2025-01-10
S6005,S1,V1,40,fleet_framework,2025-03-26,2025-01-11,2025-01-12
S6006,S2,V2,15,fleet_framework,2025-03-01,2025-01-13,2025-01-14
S6007,S3,V2,17,webshop,2025-03-15,2025-01-15,2025-01-16
S6008,S1,V2,18,webshop,2025-03-03,2025-01-17,2025-01-18
S6009,S2,V1,20,webshop,2025-03-15,2025-01-19,2025-01-20
S6010,S1,V1,36,webshop,2025-03-13,2025-01-21,2025-01-22
S6011,S2,V2,9,fleet_spot,2025-04-04,2025-01-23,2025-01-24
S6012,S1,V1,43,fleet_framework,2025-03-13,2025-01-25,2025-01-26
S6013,S2,V1,44,fleet_framework,2025-03-02,2025-01-27,2025-01-28
S6014,S3,V1,23,webshop,2025-03-04,2025-01-29,2025-01-30
S6015,S2,V2,23,webshop,2025-04-13,2025-01-31,2025-02-01
S6016,S1,V2,48,webshop,2025-03-22,2025-02-02,2025-02-03
S6017,S1,V1,23,webshop,2025-04-08,2025-02-04,2025-02-05
S6018,S3,V1,52,webshop,2025-02-28,2025-02-06,2025-02-07
S6019,S1,V1,25,fleet_framework,2025-03-23,2025-02-08,2025-02-09
S6020,S1,V2,38,fleet_framework,2025-04-13,2025-02-10,2025-02-11
S6021,S3,V1,30,fleet_spot,2025-04-24,2025-02-12,2025-02-13
S6022,S3,V2,7,webshop,2025-03-14,2025-02-14,2025-02-15
S6023,S2,V1,14,fleet_framework,2025-04-09,2025-02-16,2025-02-17
S6024,S2,V2,35,webshop,2025-04-04,2025-02-18,2025-02-19
S6025,S2,V1,10,webshop,2025-03-16,2025-02-20,2025-02-21
S6026,S2,V2,11,webshop,2025-04-20,2025-02-22,2025-02-23
S6027,S1,V1,24,fleet_spot,2025-02-26,2025-02-24,2025-02-25
S6028,S2,V2,7,webshop,2025-04-11,2025-02-26,2025-02-27
S6029,S2,V2,37,fleet_spot,2025-02-24,2025-02-28,2025-02-29
S6030,S2,V1,30,webshop,2025-03-22,2025-02-30,2025-03-01
S6031,S3,V2,54,webshop,2025-03-22,2025-03-02,2025-03-03
S6032,S1,V2,53,fleet_framework,2025-03-03,2025-03-04,2025-03-05
S6033,S2,V2,22,fleet_spot,2025-03-26,2025-03-06,2025-03-07
S6034,S2,V2,34,fleet_spot,2025-03-17,2025-03-08,2025-03-09
S6035,S3,V1,41,webshop,2025-04-22,2025-03-10,2025-03-11
S6036,S2,V2,55,fleet_framework,2025-03-11,2025-03-12,2025-03-13
S6037,S2,V1,20,fleet_framework,2025-04-14,2025-03-14,2025-03-15
S6038,S1,V1,52,fleet_spot,2025-04-09,2025-03-16,2025-03-17
S6039,S2,V2,25,webshop,2025-03-03,2025-03-18,2025-03-19
S6040,S2,V2,18,webshop,2025-04-09,2025-03-20,2025-03-21
