date,part_id,type,quantity
2025-03-30,P314,inbound,76
2025-02-15,P318,inbound,94
2025-04-08,P329,inbound,294
2025-02-09,P306,inbound,88
2025-03-26,P323,inbound,295
2025-03-17,P303,inbound,314
2025-02-28,P322,inbound,55
2025-02-21,P323,inbound,233
2025-02-22,P338,inbound,115
2025-02-18,P301,inbound,139
2025-03-29,P318,inbound,84
2025-03-22,P319,inbound,121
2025-02-08,P333,inbound,183
2025-03-18,P329,inbound,104
2025-04-16,P320,inbound,196
2025-04-03,P338,inbound,113
2025-03-16,P333,inbound,59
2025-02-05,P310,inbound,206
2025-02-02,P311,inbound,185
2025-02-19,P324,inbound,98
2025-03-08,P316,inbound,48
2025-03-27,P323,inbound,96
2025-03-21,P328,inbound,143
2025-03-11,P328,inbound,371
2025-04-14,P306,inbound,70
2025-04-23,P307,inbound,132
2025-03-02,P307,inbound,111
2025-04-24,P324,inbound,145
2025-02-16,P315,inbound,171
2025-03-21,P327,inbound,147
2025-02-10,P333,inbound,122
2025-02-23,P311,inbound,165
2025-02-28,P332,inbound,78
2025-04-20,P307,inbound,262
2025-02-16,P317,inbound,139
2025-04-19,P320,inbound,111
2025-04-07,P309,inbound,152
2025-03-05,P316,inbound,356
2025-03-06,P308,inbound,96
2025-03-11,P307,inbound,152
2025-04-10,P321,inbound,36
2025-02-14,P334,inbound,127
2025-02-13,P307,inbound,242
2025-02-22,P325,inbound,71
2025-03-23,P319,inbound,135
2025-04-10,P317,inbound,312
2025-02-07,P333,inbound,156
2025-03-17,P330,inbound,78
2025-03-08,P318,inbound,53
2025-04-01,P311,inbound,115
2025-02-23,P300,inbound,130
2025-03-20,P310,inbound,84
2025-02-19,P322,inbound,25
2025-03-02,P316,inbound,115
2025-03-28,P314,inbound,145
2025-02-02,P334,inbound,88
2025-03-05,P331,inbound,86
2025-03-18,P333,inbound,123
2025-02-07,P318,inbound,113
2025-04-01,P321,inbound,169
2025-04-04,P331,inbound,77
2025-02-21,P320,inbound,105
2025-03-15,P328,inbound,164
2025-04-07,P325,inbound,40
2025-02-23,P308,inbound,102
2025-02-10,P334,inbound,123
2025-03-07,P335,inbound,213
2025-04-04,P314,inbound,65
2025-03-28,P302,inbound,279
2025-04-22,P317,inbound,156
2025-03-03,P316,inbound,257
2025-03-09,P301,inbound,33
2025-02-09,P330,inbound,40
2025-04-19,P324,inbound,81
2025-03-08,P323,inbound,263
2025-03-30,P309,inbound,237
2025-03-30,P302,inbound,275
2025-03-27,P309,inbound,213
2025-04-08,P303,inbound,107
2025-03-12,P305,inbound,212
2025-03-01,P314,inbound,77
2025-04-12,P331,inbound,114
2025-04-02,P314,outbound,30
2025-04-10,P314,outbound,50
2025-04-15,P314,outbound,100
2025-05-05,P314,outbound,80
2025-03-20,P318,outbound,50
2025-04-01,P318,outbound,100
2025-04-15,P318,outbound,80
2025-05-01,P318,outbound,70
2025-04-10,P329,outbound,100
2025-04-20,P329,outbound,150
2025-05-02,P329,outbound,120
2025-03-20,P303,outbound,100
2025-04-01,P303,outbound,120
2025-04-25,P303,outbound,80
2025-04-05,P323,outbound,150
2025-04-18,P323,outbound,200
2025-05-03,P323,outbound,150
2025-03-15,P333,outbound,100
2025-04-10,P333,outbound,150
2025-04-30,P333,outbound,120
2025-04-01,P307,outbound,100
2025-04-12,P307,outbound,200
2025-05-05,P307,outbound,150
2025-04-10,P331,outbound,70
2025-04-25,P331,outbound,100
2025-05-01,P331,outbound,50
2025-03-10,P325,outbound,30
2025-04-01,P325,outbound,40
2025-04-20,P325,outbound,30
2025-03-05,P334,outbound,80
2025-04-02,P334,outbound,120
2025-05-01,P334,outbound,80
2025-04-20,P320,outbound,100
2025-05-01,P320,outbound,120
2025-05-10,P320,outbound,100
2025-03-05,P322,outbound,30
2025-04-01,P322,outbound,20
2025-04-10,P322,outbound,20
2025-03-10,P310,outbound,50
2025-04-01,P310,outbound,80
2025-04-20,P310,outbound,50
