supplier_id,part_id,price_per_unit,lead_time_days,min_order_qty,reliability_rating
SupC,P300,136.45,8,18,0.86
SupB,P300,37.99,14,63,0.79
SupA,P301,51.81,6,39,0.9
SupB,P301,88.67,25,28,0.75
SupA,P302,99.82,10,71,0.98
SupC,P302,27.21,11,33,0.92
SupA,P303,161.64,24,31,0.8
SupC,P303,167.46,20,89,0.8
SupB,P303,31.44,5,57,0.93
SupA,P304,140.08,7,63,0.87
SupB,P304,142.48,24,66,0.82
SupC,P304,55.17,22,15,0.82
SupB,P305,68.83,17,19,0.92
SupC,P305,35.98,15,30,0.7
SupA,P305,116.6,9,84,0.73
SupB,P306,152.21,15,44,0.93
SupC,P306,121.89,7,26,0.84
SupA,P306,119.45,9,91,0.84
SupB,P307,189.48,14,63,0.7
SupC,P307,152.0,18,69,0.75
SupA,P307,110.45,17,82,0.95
SupB,P308,96.28,16,57,0.89
SupA,P308,156.59,23,42,0.8
SupC,P309,105.2,23,81,0.78
SupB,P309,179.23,24,67,0.93
SupA,P310,192.25,5,80,0.8
SupB,P310,21.64,17,42,0.88
SupC,P310,21.89,23,36,0.92
SupA,P311,190.66,6,54,0.86
SupC,P311,187.42,16,11,0.85
SupC,P312,168.84,20,38,0.85
SupB,P312,158.19,18,53,0.97
SupA,P312,111.78,24,31,0.82
SupB,P313,33.92,22,28,0.74
SupC,P313,88.43,10,98,0.97
SupC,P314,165.69,9,88,0.94
SupA,P314,110.83,5,19,0.79
SupB,P314,191.76,23,24,0.75
SupA,P315,117.5,10,72,0.91
SupB,P315,36.92,22,30,0.79
SupC,P316,46.28,11,31,0.98
SupB,P316,190.07,12,12,0.75
SupA,P316,167.98,8,95,0.98
SupB,P317,194.67,13,50,0.91
SupA,P317,27.06,12,96,0.96
SupA,P318,159.6,10,79,0.94
SupC,P318,64.45,12,42,0.79
SupC,P319,133.99,24,84,0.83
SupB,P319,153.55,24,32,0.92
SupC,P320,143.77,21,51,0.99
SupA,P320,122.39,19,99,0.72
SupB,P320,121.95,9,61,0.7
SupB,P321,72.66,22,26,0.9
SupA,P321,191.64,23,45,0.81
SupC,P321,112.75,12,11,0.8
SupB,P322,194.7,13,51,0.77
SupC,P322,100.93,13,21,0.9
SupA,P323,93.73,16,74,0.91
SupC,P323,56.96,17,29,0.7
SupB,P323,71.65,12,78,0.8
SupA,P324,114.38,10,39,0.9
SupC,P324,69.29,14,85,0.78
SupB,P324,142.77,23,11,0.9
SupC,P325,134.35,23,14,0.94
SupB,P325,36.25,16,42,0.85
SupC,P326,82.49,11,88,0.88
SupB,P326,167.45,14,25,0.98
SupA,P326,101.93,8,59,0.84
SupB,P327,51.1,24,91,0.96
SupA,P327,112.11,20,53,0.83
SupC,P327,122.96,5,25,0.81
SupA,P328,192.46,14,60,0.96
SupB,P328,76.5,9,99,0.82
SupC,P329,116.06,18,34,0.79
SupA,P329,133.15,14,83,0.8
SupB,P330,103.78,12,14,0.98
SupA,P330,107.12,19,31,0.79
SupA,P331,116.08,14,36,0.76
SupC,P331,94.51,23,43,0.7
SupB,P331,130.2,12,70,0.72
SupA,P332,199.66,22,42,0.88
SupC,P332,96.11,8,30,0.75
SupB,P333,80.25,9,50,0.72
SupA,P333,51.03,8,33,0.79
SupC,P333,153.57,13,65,0.73
SupA,P334,137.59,6,37,0.8
SupC,P334,91.18,14,26,0.91
SupA,P335,134.33,16,99,0.98
SupB,P335,55.67,7,87,0.81
SupC,P335,113.98,14,61,0.76
SupA,P336,64.59,6,59,0.91
SupC,P336,108.1,25,44,0.87
SupB,P336,21.7,9,88,0.83
SupB,P337,113.37,15,63,0.71
SupC,P337,55.53,13,43,0.86
SupC,P338,170.0,5,35,0.96
SupA,P338,86.37,8,93,0.97
SupB,P338,184.89,24,10,0.94
